Case Number,City,Zip,Date Filed,Date Closed,Case Type,Type of Complaint,Case Disposition,Location
34513,Bethesda,20814,06/05/2014,06/24/2014,OLTA-TMF,Lease Agreement Tenant Rights,Acceptable explanation,"Bethesda 20814
(39.003061, -77.102949)"
41024,SILVER SPRING,20901,10/29/2020,11/09/2020,OLTA-TMF,Rent Increase,Acceptable explanation,"SILVER SPRING 20901
(39.020211, -77.009764)"
40424,SILVER SPRING,20910,11/19/2019,09/21/2020,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"SILVER SPRING 20910
(39.001851, -77.034885)"
47953,SILVER SPRING,20904,03/06/2023,06/12/2023,OLTA-TMF,Maintenance- General,Acceptable explanation,"SILVER SPRING 20904
(39.07120240000006, -77.00107279999997)"
32967,Germantown,20876,11/23/2011,01/04/2012,OLTA-LEASE REVIEW,Lease Review,Lease completion,"Germantown 20876
(39.198155, -77.240725)"
34474,Kensington,20895,05/14/2014,07/23/2014,OLTA-TSF,Lease Agreement,Acceptable explanation,"Kensington 20895
(39.027698, -77.077422)"
40263,SILVER SPRING,20904,09/09/2019,05/04/2020,OLTA-TMF,Lease Agreement Tenant Rights,Complaint noted for the record,"SILVER SPRING 20904
(39.066507, -76.979098)"
39812,ROCKVILLE,20855,02/27/2019,03/13/2019,OLTA-TSF,Lease Agreement,Referred to a Montgomery County Agency,"ROCKVILLE 20855
(39.134606, -77.141459)"
33595,Silver Spring,20816,12/12/2012,02/28/2013,OLTA-TSF,Security Deposit,Acceptable explanation,"Silver Spring 20816
(38.958638, -77.115455)"
41525,GAITHERSBURG,20877,08/23/2021,08/23/2021,OLTA-TMF,Fee,Non-jurisdiction-Geographic Location,"GAITHERSBURG 20877
(39.140752, -77.187359)"
30546,Silver Spring,20906,12/05/2008,03/26/2009,OLTA-TMF,,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
30689,Nbethesda,20852,02/18/2009,05/05/2009,OLTA-TMF,Maintenance - Roof Leak,Complaint withdrawn,"Nbethesda 20852
(39.050009, -77.125351)"
36478,Olney,20832,04/14/2017,02/01/2019,OLTA-TMF,Security Deposit,Referred to Landlord-Tenant Commission,"Olney 20832
(39.152328, -77.073205)"
41348,SILVER SPRING,20906,05/05/2021,05/10/2021,OLTA-TMF,Maintenance- General,Complaint withdrawn,"SILVER SPRING 20906
(39.083452, -77.060664)"
31546,Montgomery Village,20886,03/19/2010,03/31/2010,OLTA-TSF,Quit and Vacate,Duplicate Case,"Montgomery Village 20886
(39.179257, -77.193738)"
40279,SILVER SPRING,20906,09/13/2019,11/19/2019,OLTA-TMF,Security Deposit,Settlement Agreement,"SILVER SPRING 20906
(39.083452, -77.060664)"
41433,CHEVY CHASE,20815,07/02/2021,07/15/2021,OLTA-TMF,Maintenance - Infestation,Acceptable explanation,"CHEVY CHASE 20815
(38.982537, -77.079131)"
31421,Gaithersburg,20878,02/02/2010,02/02/2010,OLTA-TSF,No Jurisdiction-Geographical,Non-jurisdiction-Geographic Location,"Gaithersburg 20878
(39.114215, -77.239673)"
36843,Germantown,20874,10/20/2017,12/26/2017,OLTA-TMF,Maintenance - Plumbing,Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
30398,Rockville,20851,09/16/2008,09/16/2008,OLTA-TSF,No Jurisdiction-Geographical,Duplicate Case,"Rockville 20851
(39.07701, -77.123831)"
32987,Gaithersburg,20879,12/08/2011,12/09/2011,OLTA-TMF,No Jurisdiction-Geographical,Non-jurisdiction-Geographic Location,"Gaithersburg 20879
(39.169098, -77.182742)"
32576,Silver Spring,20904,06/15/2011,08/10/2011,OLTA-TSF,Lease Agreement,Settlement Agreement,"Silver Spring 20904
(39.066507, -76.979098)"
41050,SILVER SPRING,20906,11/18/2020,11/19/2020,OLTA-TMF,Parking,Acceptable explanation,"SILVER SPRING 20906
(39.083452, -77.060664)"
32805,Gaithersburg,20879,09/20/2011,09/28/2011,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Gaithersburg 20879
(39.169098, -77.182742)"
41361,MONTGOMERY VILLAGE,20886,05/12/2021,10/21/2021,OLTA-TSF,Harassment,Service performed or corrected,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
40032,MONTGOMERY VILLAGE,20886,06/10/2019,11/22/2019,OLTA-TSF,Maintenance - Plumbing,Other- no communication from tenant,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
45314,GAITHERSBURG,20878,07/28/2022,11/01/2022,OLTA-TSF,Security Deposit,Refund (payments/deposits),"GAITHERSBURG 20878
(39.14162, -77.22708)"
35728,Derwood,20855,02/24/2016,03/01/2016,OLTA-TSF,Lease Agreement,Goods delivered or replaced,"Derwood 20855
(39.134606, -77.141459)"
39549,MONTGOMERY VILLAGE,20886,10/08/2018,11/01/2018,OLTA-TMF,Maintenance - Mold/Mildew,Other referral (private attorney/legal aid/etc.),"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
36807,Derwood,20855,10/06/2017,10/31/2018,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Derwood 20855
(39.134606, -77.141459)"
35702,Silver Spring,20906,02/16/2016,06/16/2016,OLTA-TMF,Security Deposit,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
33441,Silver Spring,20910,09/10/2012,10/22/2012,OLTA-TMF,Quit and Vacate,Settlement Agreement,"Silver Spring 20910
(39.001851, -77.034885)"
34299,Germantown,20874,01/23/2014,05/07/2014,OLTA-TSF,Security Deposit,Referred to Landlord-Tenant Commission,"Germantown 20874
(39.158483, -77.280856)"
32611,Silver Spring,20903,06/29/2011,10/11/2011,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20903
(39.016139, -76.982897)"
41650,GAITHERSBURG,20878,10/07/2021,10/07/2021,OLTA-TMF,Security Deposit,Non-jurisdiction-Geographic Location,"GAITHERSBURG 20878
(39.114215, -77.239673)"
40551,SILVER SPRING,20904,01/17/2020,02/27/2020,OLTA-TMF,Ratio Utility Billing,Acceptable explanation,"SILVER SPRING 20904
(39.066507, -76.979098)"
39789,SILVER SPRING,20901,02/14/2019,03/01/2019,OLTA-TMF,Maintenance - Infestation,Acceptable explanation,"SILVER SPRING 20901
(39.020211, -77.009764)"
32264,Silver Spring,20906,01/11/2011,02/24/2011,OLTA-TMF,Fee,Service performed or corrected,"Silver Spring 20906
(39.083452, -77.060664)"
33579,North Bethesda,20852,12/06/2012,12/27/2012,OLTA-TMF,Lease Agreement,Service performed or corrected,"North Bethesda 20852
(39.050009, -77.125351)"
34134,Silver Spring,20910,10/21/2013,11/06/2013,OLTA-TMF,Rent Payment History,Service performed or corrected,"Silver Spring 20910
(39.001851, -77.034885)"
38379,SILVER SPRING,20902,07/30/2018,08/02/2018,OLTA-LSF,Failure to Pay Rent,No jurisdiction,"SILVER SPRING 20902
(39.042613, -77.046758)"
31371,Silver Spring,20906,01/14/2010,02/25/2010,OLTA-TSF,Maintenance- General,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
33216,Cabin John,20818,05/07/2012,06/01/2012,OLTA-TSF,Lease Agreement,Settlement Agreement,"Cabin John 20818
(38.974934, -77.161414)"
41636,GERMANTOWN,20874,10/04/2021,02/07/2022,OLTA-TMF,Security Deposit,Settlement Agreement,"GERMANTOWN 20874
(39.158483, -77.280856)"
35670,Wheaton,20906,01/13/2016,07/05/2016,OLTA-TMF,Security Deposit,Settlement Agreement,"Wheaton 20906
(39.083452, -77.060664)"
30552,Silver Spring,20910,12/08/2008,01/07/2009,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20910
(39.001851, -77.034885)"
40362,SILVER SPRING,20901,10/22/2019,12/11/2019,OLTA-TMF,Quit and Vacate,Complaint noted for the record,"SILVER SPRING 20901
(39.020211, -77.009764)"
30799,Silver Spring,20906,04/22/2009,06/01/2009,OLTA-TSF,Security Deposit,Complaint withdrawn,"Silver Spring 20906
(39.083452, -77.060664)"
33384,Germantown,20874,08/14/2012,08/15/2012,OLTA-LSF,Failure to Pay Rent,Referred to a MD State Government agency,"Germantown 20874
(39.158483, -77.280856)"
31052,Chevy Chase,20815,08/19/2009,01/07/2010,OLTA-TMF,Lease Agreement,Referred to Landlord-Tenant Commission,"Chevy Chase 20815
(38.982537, -77.079131)"
36430,Bethesda,20816,03/08/2017,06/15/2017,OLTA-TSF,Lease Agreement,Lease completion,"Bethesda 20816
(38.958638, -77.115455)"
36714,Rockville,20850,08/25/2017,10/31/2018,OLTA-TMF,Security Deposit,Acceptable explanation,"Rockville 20850
(39.092462, -77.178614)"
38043,Silver Spring,20906,02/01/2018,02/06/2018,OLTA-TMF,Fee,Service performed or corrected,"Silver Spring 20906
(39.083452, -77.060664)"
33883,Olney,20832,05/28/2013,09/13/2013,OLTA-TSF,Security Deposit,Complaint withdrawn,"Olney 20832
(39.152328, -77.073205)"
40887,SILVER SPRING,20904,08/14/2020,09/30/2020,OLTA-TMF,Maintenance - Air Conditioning,Other- no communication from tenant,"SILVER SPRING 20904
(39.066507, -76.979098)"
39756,TAKOMA PARK,20912,01/30/2019,05/27/2020,OLTA-TMF,Ratio Utility Billing,Acceptable explanation,"TAKOMA PARK 20912
(38.982019, -77.000534)"
39750,GERMANTOWN,20876,01/29/2019,02/07/2019,OLTA-TMF,Lease Agreement,Complaint withdrawn,"GERMANTOWN 20876
(39.198155, -77.240725)"
34399,Rockville,20850,04/03/2014,04/03/2014,OLTA-TMF,Security Deposit,Non-jurisdiction-Geographic Location,"Rockville 20850
(39.092462, -77.178614)"
41320,TAKOMA PARK,20912,04/23/2021,05/11/2021,OLTA-TMF,Security Deposit,Refund (payments/deposits),"TAKOMA PARK 20912
(38.982019, -77.000534)"
48094,SILVER SPRING,20901,04/27/2023,05/31/2023,OLTA-ADMIN,Retaliatory Eviction,Service performed or corrected,"SILVER SPRING 20901
(39.02585000000005, -77.01501999999994)"
33885,Bethesda,20814,05/28/2013,06/27/2013,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Bethesda 20814
(39.003061, -77.102949)"
36342,Germantown,20874,01/18/2017,02/23/2017,OLTA-TMF,Lease Agreement,Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
36388,Silver Spring,20901,02/14/2017,05/09/2017,OLTA-TMF,Lease Agreement-Early termination,Service performed or corrected,"Silver Spring 20901
(39.020211, -77.009764)"
31528,Silver Spring,20901,03/18/2010,03/19/2010,OLTA-LMF,N/A,Other- no communication from tenant,"Silver Spring 20901
(39.020211, -77.009764)"
34569,Silver Spring,20906,06/30/2014,07/31/2014,OLTA-TMF,Rent Payment History,Service performed or corrected,"Silver Spring 20906
(39.083452, -77.060664)"
33371,Germantown,20876,08/02/2012,09/28/2012,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Germantown 20876
(39.198155, -77.240725)"
35385,Germantown,20874,08/31/2015,09/02/2015,OLTA-LSF,Rent Payment History,Referred to a MD State Government agency,"Germantown 20874
(39.158483, -77.280856)"
33973,North Bethesda,20852,07/18/2013,08/19/2013,OLTA-TMF,Maintenance - Water Damages,Acceptable explanation,"North Bethesda 20852
(39.050009, -77.125351)"
41470,SILVER SPRING,20902,07/30/2021,08/25/2021,OLTA-TSF,Lease Agreement,Acceptable explanation,"SILVER SPRING 20902
(39.042613, -77.046758)"
40473,GERMANTOWN,20874,12/23/2019,02/09/2021,OLTA-TSF,Security Deposit,Other- no communication from tenant,"GERMANTOWN 20874
(39.158483, -77.280856)"
37938,Rockville,20852,12/06/2017,11/07/2018,OLTA-TSF,Quit and Vacate,Referred to Landlord-Tenant Commission,"Rockville 20852
(39.050009, -77.125351)"
36490,Silver Spring,20910,04/27/2017,11/07/2017,OLTA-TMF,Maintenance - Painting and Carpeting,Service performed or corrected,"Silver Spring 20910
(39.001851, -77.034885)"
40743,ROCKVILLE,20852,05/01/2020,11/10/2020,OLTA-TMF,Rent Payment History,Other- no communication from tenant,"ROCKVILLE 20852
(39.050009, -77.125351)"
32255,Olney,20832,01/06/2011,03/21/2011,OLTA-TMF,Rent Payment History,Complaint withdrawn,"Olney 20832
(39.152328, -77.073205)"
45298,SILVER SPRING,20902,07/22/2022,09/12/2022,OLTA-TMF,Rent Increase,Acceptable explanation,"SILVER SPRING 20902
(39.042613, -77.046758)"
40083,ROCKVILLE,20855,07/02/2019,04/27/2020,OLTA-TSF,Lease Agreement-Early Termination,Referred to a MD State Government agency,"ROCKVILLE 20855
(39.134606, -77.141459)"
38028,Silver Spring,20902,01/26/2018,01/30/2018,OLTA-TSF,Security Deposit,Referred to a MD State Government agency,"Silver Spring 20902
(39.042613, -77.046758)"
30662,Gaithersburg,20877,02/05/2009,02/05/2009,OLTA-TMF,Maintenance- General,Service performed or corrected,"Gaithersburg 20877
(39.140752, -77.187359)"
35552,Gaithersburg,20879,11/06/2015,03/01/2016,OLTA-TSF,Security Deposit,Acceptable explanation,"Gaithersburg 20879
(39.169098, -77.182742)"
45213,SILVER SPRING,20901,06/17/2022,08/24/2022,OLTA-TMF,Maintenance - Infestation,Service performed or corrected,"SILVER SPRING 20901
(39.00324, -77.00526)"
30740,Silver Spring,20910,03/18/2009,04/15/2009,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
39704,SILVER SPRING,20902,01/08/2019,01/09/2019,OLTA-TMF,Rent Payment History,Referred to a Federal agency,"SILVER SPRING 20902
(39.042613, -77.046758)"
33250,Wheaton,20902,05/24/2012,06/12/2012,OLTA-TMF,Maintenance - Electrical,Settlement Agreement,"Wheaton 20902
(39.042613, -77.046758)"
33660,Rockville,20852,01/25/2013,01/30/2013,OLTA-LMF,Rent Payment History,Referred to a MD State Government agency,"Rockville 20852
(39.050009, -77.125351)"
31396,Silver Spring,20910,01/25/2010,03/03/2010,OLTA-TMF,Security Deposit,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
40621,GERMANTOWN,20876,02/24/2020,04/01/2020,OLTA-TMF,Maintenance - Infestation,Refer to Code Enforcement,"GERMANTOWN 20876
(39.198155, -77.240725)"
31589,Silver Spring,20901,04/08/2010,05/26/2010,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Silver Spring 20901
(39.020211, -77.009764)"
35311,Silver Spring,20901,07/27/2015,08/27/2015,OLTA-TSF,Lease Agreement,Acceptable explanation,"Silver Spring 20901
(39.020211, -77.009764)"
30957,Wheaton,20902,07/09/2009,10/22/2009,OLTA-TMF,Quit and Vacate,Service performed or corrected,"Wheaton 20902
(39.042613, -77.046758)"
33612,Silver Spring,20904,12/19/2012,01/14/2013,OLTA-TMF,Rent Increase,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
32371,Silver Spring,20902,02/25/2011,04/20/2011,OLTA-TSF,Security Deposit,Complaint withdrawn,"Silver Spring 20902
(39.042613, -77.046758)"
41038,SILVER SPRING,20906,11/13/2020,12/04/2020,OLTA-TMF,Maintenance - Infestation,Service performed or corrected,"SILVER SPRING 20906
(39.083452, -77.060664)"
40488,BETHESDA,20814,12/30/2019,01/15/2020,OLTA-TMF,Security Deposit,Refund (payments/deposits),"BETHESDA 20814
(39.003061, -77.102949)"
30910,Gaithersburg,20878,06/23/2009,09/16/2009,OLTA-TSF,Security Deposit,Complaint withdrawn,"Gaithersburg 20878
(39.114215, -77.239673)"
32047,Wheaton,20902,10/08/2010,11/04/2010,OLTA-TMF,Fee,Service performed or corrected,"Wheaton 20902
(39.042613, -77.046758)"
30986,Silver Spring,20910,07/22/2009,09/02/2009,OLTA-TSF,Lease Agreement,Refund/Rent Credit,"Silver Spring 20910
(39.001851, -77.034885)"
32344,Germantown,20874,02/15/2011,02/17/2011,OLTA-TSF,"Miscellaneous/Foreclosure, T want to buy",Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
40770,SILVER SPRING,20904,05/22/2020,06/19/2020,OLTA-TMF,Rent Increase,Acceptable explanation,"SILVER SPRING 20904
(39.066507, -76.979098)"
34941,Rockville,20853,01/02/2015,01/07/2015,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Rockville 20853
(39.096485, -77.092945)"
41550,CHEVY CHASE,20815,08/31/2021,10/04/2022,OLTA-TMF,Security Deposit,Referred to Landlord-Tenant Commission,"CHEVY CHASE 20815
(38.982537, -77.079131)"
38157,SILVER SPRING,20904,04/11/2018,06/06/2019,OLTA-TMF,Eviction,Complaint withdrawn,"SILVER SPRING 20904
(39.066507, -76.979098)"
33564,Silver Spring,20904,11/28/2012,01/08/2013,OLTA-TMF,Rent Increase,Complaint withdrawn,"Silver Spring 20904
(39.066507, -76.979098)"
34523,Silver Spring,20902,06/06/2014,08/11/2014,OLTA-TMF,Rent Increase,Acceptable explanation,"Silver Spring 20902
(39.042613, -77.046758)"
41281,SILVER SPRING,20910,03/26/2021,08/17/2022,OLTA-TMF,Security Deposit,Other- no communication from tenant,"SILVER SPRING 20910
(39.001851, -77.034885)"
30447,Cumberland,21502,10/10/2008,10/10/2008,OLTA-TMF,No Jurisdiction-Geographical,Referred to a MD State Government agency,"Cumberland 21502
(39.645868, -78.764393)"
38184,GAITHERSBURG,20879,04/25/2018,05/16/2018,OLTA-TMF,Lease Agreement,Other- no communication from tenant,"GAITHERSBURG 20879
(39.169098, -77.182742)"
36402,Mont. Village,20886,02/17/2017,09/25/2017,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Mont. Village 20886
(39.179257, -77.193738)"
40352,SILVER SPRING,20904,10/21/2019,11/05/2019,OLTA-TMF,Eviction,Acceptable explanation,"SILVER SPRING 20904
(39.066507, -76.979098)"
36269,Silver Spring,20906,12/08/2016,12/14/2016,OLTA-TSF,Quit and Vacate,Acceptable explanation,"Silver Spring 20906
(39.083452, -77.060664)"
34928,Bethesda,20817,12/24/2014,01/21/2015,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Bethesda 20817
(38.998099, -77.143306)"
39592,SILVER SPRING,20904,10/25/2018,08/21/2019,OLTA-TMF,Fee,Acceptable explanation,"SILVER SPRING 20904
(39.066507, -76.979098)"
31243,Silver Spring,20904,11/05/2009,03/23/2010,OLTA-TMF,Security Deposit,Settlement Agreement,"Silver Spring 20904
(39.066507, -76.979098)"
34039,Germantown,20874,09/09/2013,11/06/2013,OLTA-TMF,Security Deposit,Referred to Landlord-Tenant Commission,"Germantown 20874
(39.158483, -77.280856)"
34355,Gaithersburg,20877,03/12/2014,03/18/2014,OLTA-TSF,Maintenance - Water Damages,Complaint withdrawn,"Gaithersburg 20877
(39.140752, -77.187359)"
33310,Silver Spring,20901-2031,06/26/2012,07/10/2012,OLTA-TSF,Lease Agreement,Service performed or corrected,"Silver Spring 20901-2031
(39.022386, -77.021057)"
31622,Germantown,20874,04/21/2010,06/14/2010,OLTA-TMF,Security Deposit,Settlement Agreement,"Germantown 20874
(39.158483, -77.280856)"
40091,SILVER SPRING,20902,07/10/2019,08/22/2019,OLTA-TMF,Maintenance- General,Acceptable explanation,"SILVER SPRING 20902
(39.042613, -77.046758)"
47721,SILVER SPRING,20906,01/25/2023,03/02/2023,OLTA-TSF,Maintenance- General,Refer to Code Enforcement,"SILVER SPRING 20906
(39.09303, -77.07354)"
35722,Mont. Village,20886,02/23/2016,03/01/2016,OLTA-TMF,Rent Payment History,Complaint withdrawn,"Mont. Village 20886
(39.179257, -77.193738)"
31474,Silver Spring,20910,02/26/2010,03/05/2010,OLTA-TMF,Security Deposit,No jurisdiction,"Silver Spring 20910
(39.001851, -77.034885)"
31380,Burtonsville,20866,01/29/2010,04/08/2010,OLTA-TMF,Lease Agreement,Settlement Agreement,"Burtonsville 20866
(39.103016, -76.935049)"
36621,Silver Spring,20906,07/12/2017,11/07/2017,OLTA-TMF,Lease Agreement Tenant Rights,Other referral (private attorney/legal aid/etc.),"Silver Spring 20906
(39.083452, -77.060664)"
40224,SILVER SPRING,20910,08/29/2019,09/02/2019,OLTA-TMF,Fee,No jurisdiction,"SILVER SPRING 20910
(39.001851, -77.034885)"
35090,Gaithersburg,20879,03/25/2015,04/15/2015,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Gaithersburg 20879
(39.169098, -77.182742)"
32819,Burtonsville,20866,09/29/2011,10/21/2011,OLTA-LSF,Lease Agreement,Acceptable explanation,"Burtonsville 20866
(39.103016, -76.935049)"
40960,ROCKVILLE,20855,09/23/2020,10/21/2020,OLTA-TMF,Lease Agreement Tenant Rights,Complaint withdrawn,"ROCKVILLE 20855
(39.134606, -77.141459)"
30287,Silver Spring,20904,07/24/2008,09/18/2008,OLTA-TMF,Rent Increase,Service performed or corrected,"Silver Spring 20904
(39.066507, -76.979098)"
35453,North Potomac,20878,09/28/2015,02/02/2016,OLTA-TSF,Lease Agreement,Settlement Agreement,"North Potomac 20878
(39.114215, -77.239673)"
40370,GAITHERSBURG,20878,10/25/2019,10/31/2019,OLTA-TMF,Maintenance - Hot/Cold Water,Non-jurisdiction-Geographic Location,"GAITHERSBURG 20878
(39.114215, -77.239673)"
40687,SILVER SPRING,20910,03/19/2020,03/30/2021,OLTA-TMF,Rent Payment History,Refund/Rent Credit,"SILVER SPRING 20910
(39.001851, -77.034885)"
33360,Potomac,20854,08/02/2012,08/07/2012,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Potomac 20854
(39.038266, -77.203413)"
46634,CLARKSBURG,20871,12/01/2022,12/27/2022,OLTA-LSF,Rent Payment History,No jurisdiction,"CLARKSBURG 20871
(39.23842, -77.279)"
35089,Silver Spring,20910,03/25/2015,04/02/2015,OLTA-TMF,Submetering,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
34305,North Bethesda,20852,01/30/2014,03/25/2014,OLTA-TMF,Fee,Complaint withdrawn,"North Bethesda 20852
(39.050009, -77.125351)"
39587,KENSINGTON,20895,10/25/2018,12/21/2018,OLTA-TSF,Rent Increase,Acceptable explanation,"KENSINGTON 20895
(39.027698, -77.077422)"
34729,Germantown,20874,09/18/2014,10/31/2014,OLTA-TMF,Security Deposit,Acceptable explanation,"Germantown 20874
(39.158483, -77.280856)"
32661,Silver Spring,20906,07/22/2011,08/17/2011,OLTA-LSF,Harassment,Settlement Agreement,"Silver Spring 20906
(39.083452, -77.060664)"
30583,Germantown,20874,12/26/2008,02/26/2009,OLTA-LSF,Quit and Vacate,Service performed or corrected,"Germantown 20874
(39.158483, -77.280856)"
33170,N/A,n/a,03/30/2012,05/18/2012,OLTA-LEASE REVIEW,Lease Review,Lease completion,"N/A n/a
(21.879411, -160.219411)"
41410,SILVER SPRING,20906,06/15/2021,06/22/2021,OLTA-TSF,Harassment,Referred to a MD State Government agency,"SILVER SPRING 20906
(39.083452, -77.060664)"
31597,Silver Spring,20901,04/13/2010,06/03/2010,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Silver Spring 20901
(39.020211, -77.009764)"
33795,Silver Spring,20910,04/10/2013,04/30/2013,OLTA-TMF,Rent,Acceptable explanation,"Silver Spring 20910
(39.001851, -77.034885)"
40606,MONTGOMERY VILLAGE,20886,02/20/2020,02/20/2020,OLTA-TSF,Maintenance- General,Complaint noted for the record,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
34265,Gaithersburg,20886,01/09/2014,05/16/2014,OLTA-TMF,Fee,Acceptable explanation,"Gaithersburg 20886
(39.179257, -77.193738)"
41452,BETHESDA,20817,07/16/2021,04/13/2022,OLTA-TSF,Fee,Referred to a MD State Government agency,"BETHESDA 20817
(38.998099, -77.143306)"
45359,BETHESDA,20816,08/25/2022,03/27/2023,OLTA-TSF,Security Deposit,Settlement Agreement,"BETHESDA 20816
(38.95687410000005, -77.10252799999995)"
33966,Rockville,20852,07/12/2013,07/29/2013,OLTA-TSF,Application Deposit,Non-jurisdiction-Rental Application-Referred to OCA,"Rockville 20852
(39.050009, -77.125351)"
45463,ROCKVILLE,20852,10/05/2022,11/22/2022,OLTA-TMF,Lease Agreement,Other- no communication from tenant,"ROCKVILLE 20852
(39.04539, -77.11398)"
34479,Gaithersburg,20878,05/22/2014,05/22/2014,OLTA-TMF,Lease Agreement,Non-jurisdiction-Geographic Location,"Gaithersburg 20878
(39.114215, -77.239673)"
33818,Potomac,20854,04/23/2013,05/28/2013,OLTA-TSF,Maintenance- General,Complaint withdrawn,"Potomac 20854
(39.038266, -77.203413)"
40783,ROCKVILLE,20852,06/05/2020,12/15/2020,OLTA-TMF,Maintenance- General,Acceptable explanation,"ROCKVILLE 20852
(39.050009, -77.125351)"
33297,Bethesda,20814,06/20/2012,07/18/2012,OLTA-TSF,Security Deposit,Settlement Agreement,"Bethesda 20814
(39.003061, -77.102949)"
38147,GAITHERSBURG,20882,04/11/2018,05/31/2018,OLTA-TSF,Security Deposit,Settlement Agreement,"GAITHERSBURG 20882
(39.227609, -77.159627)"
36498,Damascus,20872,04/27/2017,05/31/2017,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Damascus 20872
(39.282424, -77.213985)"
33097,Damascus,20872,02/13/2012,02/21/2012,OLTA-TMF,Quit and Vacate,Acceptable explanation,"Damascus 20872
(39.282424, -77.213985)"
39500,MONTGOMERY VILLAGE,20886,09/06/2018,05/15/2019,OLTA-TSF,Security Deposit,Complaint withdrawn,"MONTGOMERY VILLAGE 20886
(39.179257, -77.193738)"
31506,Silver Spring,20904,03/11/2010,03/16/2010,OLTA-TMF,Security Deposit,Refund (payments/deposits),"Silver Spring 20904
(39.066507, -76.979098)"
35049,Bethesda,20817,02/27/2015,06/30/2015,OLTA-TSF,Lease Agreement,Settlement Agreement,"Bethesda 20817
(38.998099, -77.143306)"
46621,SILVER SPRING,20910,11/29/2022,01/13/2023,OLTA-TMF,Lease Agreement Tenant Rights,Service performed or corrected,"SILVER SPRING 20910
(38.99693, -77.02914)"
34764,Mont. Village,20886,10/02/2014,01/16/2015,OLTA-TMF,Security Deposit,Refund/Rent Credit,"Mont. Village 20886
(39.179257, -77.193738)"
40225,GAITHERSBURG,20878,08/29/2019,09/04/2019,OLTA-TMF,Lease Agreement Tenant Rights,Duplicate Case,"GAITHERSBURG 20878
(39.114215, -77.239673)"
32626,Silver Spring,20902,07/08/2011,08/29/2012,OLTA-TMF,Rent Increase,Refund (payments/deposits),"Silver Spring 20902
(39.042613, -77.046758)"
32844,Silver Spring,20904,10/11/2011,11/04/2011,OLTA-TMF,Maintenance - Plumbing,Referred to a Montgomery County Agency,"Silver Spring 20904
(39.066507, -76.979098)"
30587,Potomac,20854,12/26/2008,03/06/2009,OLTA-TSF,Security Deposit,Refund (payments/deposits),"Potomac 20854
(39.038266, -77.203413)"
30455,North Potomac,20878,10/16/2008,11/20/2008,OLTA-TSF,,Refund (payments/deposits),"North Potomac 20878
(39.114215, -77.239673)"
31649,Bethesda,20816,05/05/2010,05/05/2010,OLTA-LSF,Security Deposit,Refund (payments/deposits),"Bethesda 20816
(38.958638, -77.115455)"
38250,SILVER SPRING,20910,06/01/2018,06/11/2018,OLTA-TMF,Reduction in Services,Referred to a Montgomery County Agency,"SILVER SPRING 20910
(39.001851, -77.034885)"
44071,ROCKVILLE,20852,04/05/2022,05/16/2022,OLTA-TMF,Fee,Refund/Rent Credit,"ROCKVILLE 20852
(39.050009, -77.125351)"
40608,POTOMAC,20854,02/20/2020,10/27/2020,OLTA-TSF,Security Deposit,Settlement Agreement,"POTOMAC 20854
(39.038266, -77.203413)"
35828,Rockville,20852,05/03/2016,05/03/2016,OLTA-TMF,Fee,Non-jurisdiction-Geographic Location,"Rockville 20852
(39.050009, -77.125351)"
39948,OLNEY,20832,05/08/2019,05/27/2020,OLTA-TSF,Security Deposit,Service performed or corrected,"OLNEY 20832
(39.152328, -77.073205)"
